id,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
978,2 pokoje na zielonym Żoliborzu,619 000 zł,Warszawa,Bielany,34.5 m²,2 pokoje,1 piętro
979,2 pokoje I Krzyki I Zieleń,629 000 zł,Wrocław,Krzyki,48.8 m²,2 pokoje,2 piętro
980,"Dwupokojowe mieszkanie na I piętrze, garaż i ogródek Wrocław Różanka",542 000 zł,Wrocław,Brak danych,45.8 m²,2 pokoje,1 piętro
981,"4 pok. mieszkanie na sprzedaż 80m2, Będzin Królowej Jadwigi, Zamkowe",599 000 zł,Brak danych,Brak danych,79.3 m²,4 pokoje,parter
982,"Nowy, komfortowy apartament z ogródkiem – Mielec Sielska/Traugutta",780 000 zł,Brak danych,Brak danych,90 m²,4 pokoje,parter
983,Przestronne 2 pokoje po remoncie,499 000 zł,Opole,Krajowej,51 m²,2 pokoje,2 piętro
984,Apartamenty z ogródkami I Repty !,539 000 zł,Brak danych,Brak danych,71 m²,3 pokoje,parter
985,Wolne od zaraz| Metro Płocka| Rodzinne| Komórka|KW,211 670 000 zł,Warszawa,Wola,109.8 m²,4 pokoje,10 piętro
986,"2 pok. mieszkanie na sprzedaż 43 m2, Dąbrowa Górnicza Ząbkowice",249 000 zł,Brak danych,Brak danych,42.9 m²,2 pokoje,3 piętro
987,Bezpośrednio 3 pokoje 47.5m2 plus balkon,450 000 zł,Brak danych,Brak danych,47.5 m²,3 pokoje,4 piętro
988,"Olkusz,ul.Bylicy, 2pok,Słoneczne do Zamieszkania.Po remoncie. TANIO",260 000 zł,Kraków,Brak danych,36.46 m²,2 pokoje,3 piętro
989,Nowocześnie wykończone z klimatyzacją w,299 999 zł,Brak danych,Brak danych,28.4 m²,2 pokoje,1 piętro
990,3x Balkon ⭐ Idealne dla Rodziny ⭐ Skomunikowane ⭐ Inwestycja Premium,1 046 000 zł,Wrocław,Krzyki,98 m²,5 pokoje,1 piętro
991,"Jasne mieszkanie na nowym, zielonym i strzeżonym",575 000 zł,Łódź,Polesie,54.93 m²,2 pokoje,2 piętro
992,"2 pokoje na Starych Bielanach, Metro",749 000 zł,Warszawa,Bielany,50 m²,2 pokoje,1 piętro
993,Przestronne 2-pokojowe mieszkanie M3,315 000 zł,Bydgoszcz,Fordon,48.45 m²,2 pokoje,1 piętro
994,"2 pokoje - 54,69 m2 - ul. Koralowa. 2014 r.",600 000 zł,Lublin,Południowy,54.69 m²,2 pokoje,2 piętro
995,4 pokoi / balkon/ogrodzona działka /GARAŻ /parking / STUDIO przyziemi,700 000 zł,Słupsk,Włodkowica,111.7 m²,4 pokoje,1 piętro
996,Projekt Redena,942 zł,Brak danych,Brak danych,62 m²,3 pokoje,Brak danych
997,UNIKAT*Wygodne 3 pok* PANORAMA* Parking*Balkon*Cisza*Parki*Widok PKiN!,2 150 000 zł,Warszawa,Śródmieście,74.2 m²,3 pokoje,5 piętro
998,Mieszkanie 32m2 2 pokoje parter,215 000 zł,Brak danych,Brak danych,32.3 m²,2 pokoje,parter
999,"kawalerka 35,53m w atrakcyjnej lokalizacji",309 000 zł,Toruń,Koniuchy,35.53 m²,1 pokoje,3 piętro
1000,"mieszkanie 2 pokoje,I piętro, w świetnej lokalizacji Torunia",443 000 zł,Toruń,Koniuchy,47.64 m²,2 pokoje,1 piętro
1001,2pok | Piękny staw | Miejsce na grilla | Lodowisko,959 000 zł,Warszawa,Ursynów,48.19 m²,2 pokoje,2 piętro
1002,Ostatnie mieszkanie w nowej super cenie !!!,919 000 zł,Warszawa,Wawer,89 m²,4 pokoje,1 piętro
1003,Wyjątkowy apartament na Pradze Północ,212 499 999 zł,Warszawa,Północ,90.41 m²,3 pokoje,6 piętro
1004,"Mieszkanie 3 pokoje z ogrodem, Wieliczki",650 000 zł,Brak danych,Brak danych,64 m²,3 pokoje,parter
1005,Psary | szereg | 3 km do Marino | cisza i spokój,899 000 zł,Brak danych,Brak danych,93.5 m²,5 pokoje,parter
1006,NOWY apartament na Saskiej Kępie 70 m2 z garażem,162 150 000 zł,Warszawa,Południe,69.67 m²,2 pokoje,1 piętro
1007,"2 pok , Świetny punkt , WUM , inwestycja",499 000 zł,Warszawa,Włochy,30 m²,2 pokoje,4 piętro
1008,"NOWE, WYKOŃCZONE,2m postojowe+Ogródek 98m2 w cenie",798 000 zł,Wrocław,Pole,44.13 m²,2 pokoje,parter
1009,Vi² by Blockhaus | mieszkanie 3-pok. | A_10,366 786 zł,Brak danych,Brak danych,44.73 m²,3 pokoje,parter
1010,I​V​Y by Blockhaus. | mieszkanie 3-pok. | A_06,563 640 zł,Brak danych,Brak danych,64.05 m²,3 pokoje,2 piętro
1011,Mieszkanie inwestycyjne 5 pokoi Okazja ROI 11%,459 000 zł,Poznań,Jeżyce,53.19 m²,5 pokoje,parter
1012,"Sprzedam kawalerkę 26,4 m2, blisko ronda ONZ",509 361 zł,Warszawa,Wola,26.4 m²,1 pokoje,10 piętro
1013,"2-poziomowe, nowoczesne mieszkanie Pruszków",899 900 zł,Brak danych,Brak danych,75 m²,3 pokoje,4 piętro
1014,Waniliowa | mieszkanie 4-pok. | A/05,10 689 zł,Wrocław,Pole,74 m²,4 pokoje,Brak danych
1015,Osiedle Naturama II,10 969 zł,Poznań,Jeżyce,79 m²,4 pokoje,Brak danych
1016,NOWA urządzona kawalerka | ogródek | Bonarka,299 000 zł,Kraków,Fałęcki,22 m²,1 pokoje,parter
1017,Sprzedaż mieszkania na Lwa blisko Malty,517 000 zł,Poznań,Miasto,43.07 m²,2 pokoje,parter
1018,"Chartowo Tower / 44,5 mkw / 2 pokoje",519 000 zł,Poznań,Miasto,44.5 m²,2 pokoje,10 piętro
1019,Osiedle Naturama II,10 969 zł,Poznań,Jeżyce,79 m²,4 pokoje,Brak danych
1020,Dobry Poranek,10 250 zł,Brak danych,Brak danych,68 m²,3 pokoje,Brak danych
1021,"KUPMNIE 14.500 zam2.-3pok,56m.Czerwone Maki,Ruczaj.FANTASTYCZNE,Dzwoń.",815 000 zł,Kraków,Dębniki,56.07 m²,3 pokoje,6 piętro
1022,Kawalerka Gdynia Redłowo natychmiastowe wydanie,395 000 zł,Gdynia,Brak danych,23.23 m²,1 pokoje,1 piętro
1023,"3 pokoje, 2 Łazienki, miejsce postojowe *Częstocho",699 000 zł,Częstochowa,Parkitka,89 m²,3 pokoje,2 piętro
1024,40 m2 | 2 pokoje | Szczepin - centrum | tramwaj,439 900 zł,Wrocław,Miasto,40 m²,2 pokoje,4 piętro
1025,Mieszkanie 3 pokojowe - Tychy osiedle H,425 000 zł,Tychy,Brak danych,53.6 m²,3 pokoje,3 piętro
1026,Gdańsk Wrzeszcz - 2 pokoje w cichej okolicy,620 000 zł,Gdańsk,Brak danych,41.76 m²,2 pokoje,1 piętro
1027,4 pokojowy Apartament na Mokotowie.,212 900 000 zł,Warszawa,Mokotów,116 m²,4 pokoje,3 piętro
1028,Dom Marzeń | 10 min do Wrocławia | Kameralny,899 000 zł,Wrocław,Brak danych,116 m²,4 pokoje,2 piętro
1029,"Prywatnie Bronowice ok. Rydla , 3 pok. 56 m2 , rozkładowe",899 000 zł,Kraków,Bronowice,56 m²,3 pokoje,4 piętro
1030,"3 pok z balkonem, widna kuchnia Mokotów",680 000 zł,Warszawa,Mokotów,45.8 m²,3 pokoje,4 piętro
1031,Mieszkanie 2 pokoje 0% prowizji 0%podatku Pcc,708 111 zł,Kraków,Podgórze,46.74 m²,2 pokoje,1 piętro
1032,"Znakomita lokalizacja, przytulne, gotowe do wprowadzenia, Bokserska",770 000 zł,Warszawa,Ursynów,36.8 m²,2 pokoje,7 piętro
1033,"Armii Krajowej 8A - mieszkanie 2 pokoje - 42,71 m2",298 500 zł,Brak danych,Brak danych,42.71 m²,2 pokoje,1 piętro
1034,Mieszkanie z ogródkiem/Obniżka ceny!,399 000 zł,Olsztyn,Podleśna,48 m²,4 pokoje,1 piętro
1035,Czeladź Nowopogońska 208B 3 pokoje niski blok,349 000 zł,Brak danych,Brak danych,67.73 m²,3 pokoje,parter
1036,cisza * zieleń * wyremontowane * 3 linia metra,695 000 zł,Warszawa,Południe,41.5 m²,2 pokoje,parter
1037,78 m2 | 4 pokoje | balkon | garaż | Tarchomin,191 095 000 zł,Warszawa,Białołęka,78.1 m²,4 pokoje,7 piętro
1038,kawalerka z pięknym widokiem!,399 000 zł,Warszawa,Północ,25.47 m²,1 pokoje,10 piętro
1039,3-pokojowe mieszkanie 74m2 + taras Bezpośrednio,858 973 zł,Gliwice,Śródmieście,74.37 m²,3 pokoje,5 piętro
1040,Smart City | mieszkanie nr F16,401 925 zł,Brak danych,Brak danych,53.59 m²,3 pokoje,3 piętro
1041,Apartamenty Zacisze | mieszkanie 3-pok. | A1.5,551 300 zł,Bielsko-Biała,Wapienica,55.13 m²,3 pokoje,1 piętro
1042,3 Pokoje | Piwnica | Zielona okolica | Bieńczyce,649 000 zł,Kraków,Bieńczyce,54.28 m²,3 pokoje,3 piętro
1043,2 Pokoje | Balkon | Piwnica | Wzgórza,469 000 zł,Kraków,Krzesławickie,39 m²,2 pokoje,1 piętro
1044,3 Pokoje | Oddzielna kuchnia | Balkon | Oświecenia,778 000 zł,Kraków,Mistrzejowice,64.85 m²,3 pokoje,7 piętro
1045,49m2 + taras 27 m2 * lokalizacja * widok * gotowe,677 000 zł,Brak danych,Brak danych,49 m²,2 pokoje,1 piętro
1046,lokalizacja * cisza * gotowe * doświetlone * park,425 000 zł,Warszawa,Południe,23.5 m²,1 pokoje,3 piętro
1047,Sosnowiec Lenartowicza 2 pok,289 000 zł,Sosnowiec,Brak danych,51.6 m²,2 pokoje,7 piętro
1048,"Komfortowy apartament, duży balkon wysoki standard",71 354 822 zł,Katowice,Panewniki,95.41 m²,4 pokoje,3 piętro
1049,Osiedle Naturama II,10 969 zł,Poznań,Jeżyce,79 m²,4 pokoje,Brak danych
1050,"Nowoczesna kawalerka ul. Wolska 165, budynek 2019",419 999 zł,Warszawa,Wola,21.52 m²,1 pokoje,2 piętro
1051,1-pokojowe mieszkanie 28m2 + ogródek Bezpośrednio,520 405 zł,Warszawa,Północ,28.12 m²,1 pokoje,parter
1052,REZERWACJA Mieszkanie 65m2 3 pokoje ul. Pułaskiego 12,299 000 zł,Brak danych,Brak danych,65.48 m²,3 pokoje,3 piętro
1053,Duże 2pok na Karłowicach/Czajkowskiego+balkon,549 001 zł,Wrocław,Pole,59.55 m²,2 pokoje,4 piętro
1054,0% Prowizji| 3 Pokoje | Zamknięte osiedle | Balkon,275 000 zł,Zabrze,Biskupice,53.3 m²,3 pokoje,2 piętro
1055,0% Prowizji | Nowe Budownictwo | 3 Pokoje | Balkon,479 000 zł,Brak danych,Brak danych,57.75 m²,3 pokoje,3 piętro
1056,Ładne 2 pok na Biskupinie/Park/Stadion gotowe,599 001 zł,Wrocław,Śródmieście,48.98 m²,2 pokoje,2 piętro
1057,2 pokoje 45m/Rozkład/Inwestycja/ul.Grabiszyńska,619 000 zł,Wrocław,Miasto,45.4 m²,2 pokoje,1 piętro
1058,Apartament z ogrodem | Tuż przy parku,"91 026 091,72 zł",Wrocław,Śródmieście,53.09 m²,2 pokoje,parter
1059,Z balkonem i tarasem | Tuż przy parku,"71 114 375,79 zł",Wrocław,Śródmieście,41.56 m²,2 pokoje,3 piętro
1060,Z ogródkiem | Zacisze | Przy parku,"141 336 922,38 zł",Wrocław,Śródmieście,68.05 m²,3 pokoje,parter
1061,Penthouse w sercu miasta | Taras | Piękny widok,212 890 000 zł,Wrocław,Śródmieście,133.97 m²,3 pokoje,6 piętro
1062,2 pokoje do remontu w świetnej lokalizacji,449 000 zł,Rzeszów,Roweckiego,47.47 m²,2 pokoje,2 piętro
1063,Luksusowy Apartament | Z dużym tarasem,213 950 000 zł,Warszawa,Targówek,171 m²,4 pokoje,5 piętro
1064,Klimatyzacja | Wysoki standard | 3 sypialnie,86 240 000 zł,Warszawa,Wilanów,240 m²,5 pokoje,3 piętro
1065,2 sypialnie | Ogródek | Komórka lokatorska,191 742 000 zł,Warszawa,Wilanów,67 m²,3 pokoje,parter
1066,Moderna Powiśle | Wysokie sufity | Duży taras,212 600 000 zł,Warszawa,Śródmieście,44 m²,2 pokoje,1 piętro
1067,Powiśle | Duplex | Do wykończenia | Parking,94 368 000 zł,Warszawa,Śródmieście,128.63 m²,4 pokoje,4 piętro
1068,Świetna lokalizacja | Widne wnętrze | Balkon,151 990 000 zł,Warszawa,Śródmieście,58 m²,2 pokoje,5 piętro
1069,Stylowy penthouse | Zielone otoczenie | Taras,136 290 000 zł,Warszawa,Śródmieście,124.32 m²,5 pokoje,6 piętro
1070,Zamieszkaj NA Wyspie - Apartament Z Tarasem,93 500 000 zł,Warszawa,Mokotów,100 m²,3 pokoje,1 piętro
1071,Miasteczko Wilanów | 2 Sypialnie | Ogródek,142 295 000 zł,Warszawa,Wilanów,103 m²,3 pokoje,parter
1072,Mieszkanie W Rezydencji łazienki Park,212 400 000 zł,Warszawa,Śródmieście,58 m²,2 pokoje,4 piętro
1073,Bliska Wola | Inwestycja Art Deco | Siłownia,211 990 000 zł,Warszawa,Wola,73.85 m²,3 pokoje,1 piętro
1074,Mieszkanie w inwestycji Royal Residence,151 877 670 zł,Warszawa,Wilanów,67.3 m²,3 pokoje,1 piętro
1075,W pełni wyposażony | Wysoki standard wykończenia |,192 600 000 zł,Warszawa,Mokotów,121 m²,3 pokoje,2 piętro
1076,Stare Włochy | Bardzo Wysoki standard,172 760 000 zł,Warszawa,Włochy,119.91 m²,4 pokoje,2 piętro
1077,Penthouse z tarasem przy Kępie Potockiej,214 590 000 zł,Warszawa,Żoliborz,138.74 m²,4 pokoje,6 piętro
1078,Apartament stan deweloperski obok hotelu Nobu,194 860 000 zł,Warszawa,Śródmieście,135 m²,4 pokoje,3 piętro
1079,Doskonała lokalizacja | Przy Royal Wilanów,172 590 000 zł,Warszawa,Wilanów,98.68 m²,3 pokoje,1 piętro
1080,"Apartament w Mennica Residence, miejsca na 2 auta",214 220 000 zł,Warszawa,Wola,105.79 m²,4 pokoje,2 piętro
1081,Cele Biurowe I Mieszkaniowe | Hala Koszyki,214 592 440 zł,Warszawa,Śródmieście,158.36 m²,4 pokoje,5 piętro
1082,Klimatyczne | Blisko metra na Powiślu,213 425 000 zł,Warszawa,Śródmieście,98.08 m²,3 pokoje,2 piętro
1083,4 sypialnie | 4 miejsca w garażu | widok na zieleń,213 641 700 zł,Warszawa,Wilanów,183 m²,5 pokoje,1 piętro
1084,Kameralne wille miejskie | Spokojna okolica,143 928 226 zł,Warszawa,Wilanów,134.56 m²,4 pokoje,1 piętro
1085,Apartamenty Orkana - ekologiczne budownictwo,84 214 602 zł,Warszawa,Mokotów,140.02 m²,4 pokoje,2 piętro
1086,Dwupoziomowy apartament w komfortowej lokalizacji,145 352 859 zł,Warszawa,Wilanów,296 m²,5 pokoje,1 piętro
1087,Przy Parku Szczęśliwieckim | Luksusowa inwestycja,81 833 320 zł,Warszawa,Ochota,72.73 m²,3 pokoje,1 piętro
1088,REZERWACJA Mieszkanie 65m2 3 pokoje ul. Pułaskiego 12,299 000 zł,Brak danych,Brak danych,65.48 m²,3 pokoje,3 piętro
1089,DODATKOWY RABAT❗️Dwustronne M4 - 63m2 z OGRÓDKIEM✅Smart Home✅PROMOCJA,632 069 zł,Poznań,Miasto,63.01 m²,4 pokoje,Brak danych
1090,Apartament Czarna Góra Resort Biała Perła,820 000 zł,Brak danych,Brak danych,52.32 m²,2 pokoje,1 piętro
1091,Dwupoziomowy apartament w komfortowej lokalizacji,145 352 859 zł,Warszawa,Wilanów,296 m²,5 pokoje,1 piętro
1092,Przy Parku Szczęśliwieckim | Luksusowa inwestycja,81 833 320 zł,Warszawa,Ochota,72.73 m²,3 pokoje,1 piętro
1093,Prestiżowa i nagradzana Inwestycja | Dla rodziny,73 520 000 zł,Warszawa,Mokotów,143.61 m²,5 pokoje,1 piętro
1094,Wysoki standard | 4 sypialnie | 2 miejsca garażowe,216 000 000 zł,Warszawa,Wola,145 m²,5 pokoje,9 piętro
1095,Odrestaurowana kamienica I Miejsce parkingowe,213 960 000 zł,Warszawa,Śródmieście,120 m²,4 pokoje,4 piętro
1096,W sercu Starówki | Kamienica | Klimatyczne,162 100 000 zł,Warszawa,Śródmieście,63 m²,2 pokoje,2 piętro
1097,Dwupoziomowy apartament | Z prywatną windą,213 480 000 zł,Warszawa,Wilanów,192.88 m²,5 pokoje,2 piętro
1098,Wysokiej klasy materiały | Funkcjonalny rozkład,192 300 000 zł,Warszawa,Mokotów,91.12 m²,4 pokoje,1 piętro
1099,Mennica Residance | 2 Sypialnie,161 908 360 zł,Warszawa,Wola,54 m²,3 pokoje,3 piętro
1100,Miasteczko Wilanów | Najwyższy standard,214 200 000 zł,Warszawa,Wilanów,188.9 m²,4 pokoje,3 piętro
1101,2 Sypialnie | Łazienka z wanną | Wysoki standard,142 300 000 zł,Warszawa,Mokotów,95 m²,3 pokoje,parter
1102,Osiedle zamknięte | 3 pokoje | Ogródek,182 500 000 zł,Warszawa,Bemowo,94.3 m²,3 pokoje,parter
1103,Apartament z ogrodem 161 m2 | 2 miejsca postojowe,212 410 000 zł,Warszawa,Wilanów,105.82 m²,3 pokoje,parter
1104,3 Pokojowy Apartament W Odresturowanej Kamienicy,182 376 000 zł,Warszawa,Śródmieście,72 m²,3 pokoje,2 piętro
1105,Kamienica | Wyjątkowe wnętrza,76 900 000 zł,Warszawa,Śródmieście,145 m²,4 pokoje,1 piętro
1106,Śródmieście | Zakup z najemcą,156 300 000 zł,Warszawa,Śródmieście,209.64 m²,5 pokoje,1 piętro
1107,Apartament z ogrodem przy Odrze.,131 036 900 zł,Wrocław,Miasto,61.03 m²,3 pokoje,Brak danych
1108,Z ogrodem | W sercu Parku | 2 sypialnie,111 995 609 zł,Wrocław,Śródmieście,68.46 m²,3 pokoje,parter
1109,Przestronny | Gotowy do wprowadzenia | Ovo,211 295 000 zł,Wrocław,Krzyki,52.96 m²,2 pokoje,5 piętro
1110,Stylowe | Funkcjonalny układ | 2 sypialnie,780 000 zł,Wrocław,Fabryczna,58.79 m²,3 pokoje,1 piętro
1111,Inwestycyjny Dwupak | Prestiżowe| Inwestycja Gradi,211 035 000 zł,Wrocław,Śródmieście,60.95 m²,2 pokoje,7 piętro
1112,Dwustronny apartament z dużym tarasem,201 999 000 zł,Warszawa,Wilanów,93.97 m²,3 pokoje,3 piętro
1113,Doskonała lokalizacja | 3 miejsca w garażu | Nowy,183 800 000 zł,Warszawa,Wilanów,193.46 m²,5 pokoje,2 piętro
1114,Jasne wnętrze | Dwa miejsca w garażu | Loft,132 726 850 zł,Warszawa,Mokotów,103 m²,4 pokoje,7 piętro
1115,Po remoncie| Przedwojenna kamienica| Hala Koszyki,211 500 000 zł,Warszawa,Śródmieście,50.45 m²,2 pokoje,3 piętro
1116,Luksusowy | Duży taras | Klimatyzacja,115 490 000 zł,Warszawa,Mokotów,156.54 m²,5 pokoje,1 piętro
1117,Dwupoziomowy | Loft | Woronicza Qbik,191 990 000 zł,Warszawa,Mokotów,83.09 m²,3 pokoje,1 piętro
1118,Apartament z dużymi balkonami | Nova Królikarnia,203 990 000 zł,Warszawa,Mokotów,135.69 m²,5 pokoje,1 piętro
1119,Glogera 32 | mieszkanie 3-pok. | M21,850 000 zł,Kraków,Biały,62.09 m²,3 pokoje,2 piętro
1120,Klimatyczne mieszkanie w kamienicy | 6 pokoi,84 250 000 zł,Warszawa,Żoliborz,136.4 m²,6 pokoje,3 piętro
1121,Cosmopolitan | Inwestycja | Wysoki standard,23 550 000 zł,Warszawa,Śródmieście,54 m²,2 pokoje,10 piętro
1122,Mieszkanie z ogródkiem 2 miejsca postojowe w cenie,550 000 zł,Brak danych,Brak danych,67.85 m²,2 pokoje,1 piętro
1123,Mieszkanie z ogródkiem 2 miejsca postojowe w cenie,550 000 zł,Brak danych,Brak danych,66.7 m²,2 pokoje,parter
1124,Mieszkanie do remontu | Centrum miasta | 1piętro,429 000 zł,Rzeszów,Augusta,43.5 m²,2 pokoje,1 piętro
1125,Kompaktowe Mieszkanie - zapoznaj się z ofertą,455 838 zł,Lublin,Sławinek,44.69 m²,2 pokoje,parter
1126,Mieszkanie 2 pok 51m2 Balkon Parking Blisko Malty,620 000 zł,Poznań,Miasto,51 m²,2 pokoje,2 piętro
1127,Dwupoziomowy apartament w komfortowej lokalizacji,5 352 859 zł,Warszawa,Wilanów,296 m²,5 pokoje,1 piętro
1128,Mieszkanie 1-pokojowe TOP Lokalizacja - własciciel,450 000 zł,Brak danych,Brak danych,30 m²,1 pokoje,1 piętro
1129,Dwupokojowe mieszkanie z dużym ogródkiem,595 000 zł,Wrocław,Krzyki,42.63 m²,2 pokoje,Brak danych
1130,5900ZŁ/m2 - 2/3 pokoje - ogródek - FIRST MINUTE,299 999 zł,Brak danych,Brak danych,50.84 m²,3 pokoje,parter
1131,*4 pokoje* GARAŻ* OGRÓDEK* WYSOKI STANDARD*,799 000 zł,Wrocław,Siechnice,102 m²,4 pokoje,parter
1132,Dobra lokalizacja dwupokojowe,470 000 zł,Toruń,Przedmieście,48.5 m²,2 pokoje,2 piętro
1133,"Centrum Łodzi, 3 pokoje | wysoki standard | garaż",211 065 000 zł,Łódź,Polesie,70.81 m²,3 pokoje,parter
1134,Mieszkanie 2-pokojowe w inwestycji New Iron,722 330 zł,Łódź,Polesie,42.49 m²,2 pokoje,2 piętro
1135,Duża kawalerka z wnęką sypialną na Wysokiej,250 000 zł,Radom,Śródmieście,36.12 m²,1 pokoje,1 piętro
1136,Nowe|2Pok|6-piętro|PanoramiczneWidoki|Tramwaj,599 229 zł,Poznań,Miasto,43.11 m²,2 pokoje,6 piętro
1137,Nowe|PodKlucz|3Pok|Ogródek50m2zDrzewami|Tramwaj,745 000 zł,Poznań,Grunwald,49.74 m²,3 pokoje,parter
1138,Stylowe mieszkanie w klimatycznej kamienicy,440 000 zł,Brak danych,Brak danych,88.65 m²,2 pokoje,2 piętro
1139,Bezczynszowe mieszkanie blisko Centrum. 2-piętrowe,975 000 zł,Brak danych,Brak danych,115 m²,5 pokoje,Brak danych
1140,Nowoczesne 3-pokojowe z ogródkiem w Dopiewcu,659 000 zł,Poznań,Dopiewo,53.2 m²,3 pokoje,parter
1141,Przytulne umeblowane mieszkanie | 3pokoje | Balkon,399 000 zł,Brak danych,Brak danych,60.3 m²,3 pokoje,3 piętro
1142,Inwestycyjna nieruchomość na sprzedaż w Bytomiu,500 000 zł,Bytom,Brak danych,92.4 m²,4 pokoje,2 piętro
1143,Bezpośrednio | Wykończone | 3 pokoje | Widok na Odrę | Balkon,151 615 275 zł,Wrocław,Miasto,71.79 m²,3 pokoje,6 piętro
1144,Przestronny Loft Apartament w Sercu Miasta,600 000 zł,Łódź,Polesie,77.7 m²,2 pokoje,3 piętro
1145,"Duży apartament jednopoziomowy, Ponikwoda",999 000 zł,Lublin,Ponikwoda,117 m²,5 pokoje,2 piętro
1146,"M5, duże mieszkanie, stan deweloperski, parking.",714 240 zł,Bytom,Śródmieście,99.2 m²,5 pokoje,2 piętro
1147,Komfortowa kawalerka 30 m2 z loggią,520 000 zł,Wrocław,Pole,30.6 m²,1 pokoje,5 piętro
1148,Dwustronne mieszkanie w budynku z windą,986 000 zł,Warszawa,Śródmieście,48.45 m²,2 pokoje,2 piętro
1149,Kurkowa 14 - gotowe do wprowadzenia mieszkanie!,799 000 zł,Wrocław,Śródmieście,45.5 m²,2 pokoje,5 piętro
1150,Inwestycja w centrum przy rzece,580 000 zł,Wrocław,Krzyki,27.64 m²,1 pokoje,3 piętro
1151,"Słoneczne | 3 pok | 62,5 m2 | Wiatraczna | Loggia",889 000 zł,Warszawa,Południe,62.5 m²,3 pokoje,6 piętro
1152,Stylowa kawalerka w centrum miasta,450 000 zł,Łódź,Śródmieście,28 m²,1 pokoje,4 piętro
1153,2 pokoje w kamienicy przy Piotrkowskiej,365 000 zł,Łódź,Śródmieście,48 m²,2 pokoje,2 piętro
1154,2 pokoje z widokiem na zieleń | blisko tramwaj |,629 000 zł,Wrocław,Fabryczna,51.42 m²,2 pokoje,1 piętro
1155,"3 pokoje w centrum, gotowe do wejścia!","883 804,31 zł",Wrocław,Śródmieście,46.94 m²,3 pokoje,5 piętro
1156,Górna-2 pokoje do wejścia!,399 000 zł,Łódź,Górna,44.78 m²,2 pokoje,3 piętro
1157,Stylowa kamienica | Ty tworzysz klimat,949 000 zł,Wrocław,Śródmieście,88.66 m²,3 pokoje,2 piętro
1158,4 mieszkania w 1 przy Rynku * Dla Inwestora,151 850 000 zł,Wrocław,Miasto,73.38 m²,4 pokoje,1 piętro
1159,Nowa Inwestycja 3 pokojowe| Rybnik Niedobczyce,380 000 zł,Rybnik,Brak danych,55 m²,3 pokoje,parter
1160,3 pokoje | Gwarecka | Pilczyce | Kozanów | rozkład,648 550 zł,Wrocław,Fabryczna,59.5 m²,3 pokoje,9 piętro
1161,Wyjątkowe mieszkanie na poznańskim Sołaczu!,131 270 000 zł,Poznań,Brak danych,70.88 m²,2 pokoje,2 piętro
1162,Piętro domu - oddzielne mieszkanie z ogrodem!,600 000 zł,Wrocław,Fabryczna,63 m²,3 pokoje,Brak danych
1163,Dwupokojowe mieszkanie z dużym ogródkiem,595 000 zł,Wrocław,Krzyki,42.63 m²,2 pokoje,Brak danych
1164,❗️OSTATNIE Południowe 2pok. | Ustawna sypialnia | DUŻY RABAT | Klucze,537 675 zł,Poznań,Miasto,42.8 m²,2 pokoje,4 piętro
